202312161944
chozame
x
area
charger_4k_scope,others,432,5,1,2,win
shooter_sharp,myself,515,5,2,2,win
wiper_gim,others,537,4,1,2,win
shooter_spla,others,506,4,3,2,win
stringer_lact,others,759,4,4,2,lose
blaster_hot_custom,others,371,2,3,1,lose
shooter_spla,others,376,3,3,1,lose
charger_4k_scope,others,249,0,4,0,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1186,252,8,False,1065,417,59,False,1069,243,5,False,839,295,nan,False,1561,354,nan,False,1550,190,nan,False,1329,547,nan,False,1266,98,nan,False
1163,245,8,False,1067,415,59,False,1071,242,5,False,840,295,nan,False,1564,379,nan,False,1542,183,nan,False,1321,541,nan,False,1262,111,nan,False
1150,248,8,False,1062,413,59,False,1078,243,5,False,840,295,nan,False,1547,394,nan,False,1529,186,nan,False,1308,533,nan,False,1257,122,nan,False
1138,252,8,False,1062,412,59,False,1078,250,nan,False,842,290,nan,False,1542,406,nan,False,1539,203,nan,False,1307,528,nan,False,1246,135,nan,False
1136,246,9,False,1065,414,59,False,1064,253,nan,False,852,272,nan,False,1528,432,nan,False,1572,222,nan,False,1327,543,nan,False,1252,140,nan,False
1108,238,9,False,1108,239,59,False,1040,251,nan,False,866,258,nan,False,1513,469,nan,False,1603,221,nan,False,1354,554,nan,False,1265,146,nan,False
1073,239,9,False,1069,421,59,False,1005,243,nan,False,887,255,nan,False,1498,504,nan,False,1612,210,nan,False,1382,562,nan,False,1269,147,nan,False
1042,250,42,False,1075,421,59,False,980,240,nan,False,918,233,nan,False,1488,526,nan,False,1617,198,nan,False,1395,570,nan,False,1259,137,nan,False
1009,259,42,False,1099,414,59,False,969,240,nan,False,940,209,nan,False,1480,534,nan,False,1635,172,nan,False,1394,578,nan,False,1243,138,nan,False
996,267,4,False,1110,414,59,False,939,241,nan,False,950,186,nan,False,1467,538,nan,False,1653,142,nan,False,1211,127,nan,False,1212,141,nan,False
999,272,44,False,1114,415,59,False,915,224,nan,False,949,168,nan,False,1448,542,nan,False,1659,126,nan,False,1210,127,nan,False,1211,140,nan,False
1009,268,44,False,1136,410,59,False,916,199,nan,False,953,158,nan,False,1428,553,nan,False,1657,118,nan,False,1369,564,nan,False,1228,141,nan,False
1017,263,44,False,1155,401,59,False,931,184,nan,False,961,151,nan,False,1394,567,nan,False,1658,106,nan,False,1350,552,nan,False,1231,139,nan,False
1025,259,44,False,1025,259,59,False,941,180,8,False,973,144,nan,False,1368,582,nan,False,1648,100,nan,False,1323,535,nan,False,1206,137,nan,False
1035,255,44,False,1171,377,59,False,943,193,8,False,745,50,nan,False,1340,604,nan,False,1633,98,nan,False,1310,526,nan,False,1169,133,nan,False
1034,257,44,False,1165,368,59,False,947,211,8,False,745,50,nan,False,1323,620,nan,False,1605,96,nan,False,1308,524,nan,False,1149,125,nan,False
1019,256,44,False,1161,360,59,False,961,218,8,False,745,50,nan,False,1307,626,nan,False,1573,85,nan,False,1308,510,nan,False,1157,110,nan,False
984,249,44,False,1163,352,59,False,953,237,8,False,745,50,nan,False,1298,645,nan,False,1541,81,nan,False,1303,486,nan,False,1154,102,nan,False
945,254,44,False,1170,352,59,False,nan,nan,8,False,745,50,nan,False,1292,672,nan,False,1509,82,nan,False,1295,470,nan,False,1147,93,nan,False
930,277,44,False,1173,358,59,False,928,298,8,False,997,141,nan,False,1279,673,nan,False,1477,84,nan,False,1286,458,nan,False,1157,90,nan,False
941,292,44,False,1171,358,59,False,937,328,8,False,745,50,nan,False,1262,664,nan,False,1450,94,nan,False,1279,449,nan,False,1149,93,nan,False
944,262,44,False,1172,357,59,False,941,351,8,False,745,50,nan,False,1245,661,nan,False,1444,108,nan,False,1274,441,nan,False,1126,104,nan,False
930,226,44,False,1173,356,59,False,942,357,8,False,745,50,nan,False,1229,661,nan,False,1445,124,nan,False,1270,432,nan,False,1122,111,nan,False
1174,360,44,False,924,200,6,False,942,356,8,False,745,50,nan,False,1213,652,nan,False,1444,139,nan,False,1261,423,nan,False,1150,121,nan,False
nan,nan,nan,False,nan,nan,nan,False,nan,nan,nan,False,1428,824,nan,False,222,964,nan,False,1497,166,nan,False,1528,901,nan,False,81,683,nan,False
nan,nan,nan,False,nan,nan,nan,False,nan,nan,nan,False,689,839,nan,False,222,964,nan,False,1497,166,nan,False,1528,901,nan,False,nan,nan,nan,False
nan,nan,nan,False,nan,nan,nan,False,nan,nan,nan,False,896,942,nan,False,222,964,nan,False,1497,166,nan,False,1528,901,nan,False,nan,nan,nan,False
nan,nan,nan,False,nan,nan,nan,False,nan,nan,nan,False,689,839,nan,False,222,964,nan,False,1497,166,nan,False,1528,901,nan,False,nan,nan,nan,False
nan,nan,nan,False,nan,nan,nan,False,nan,nan,nan,False,689,839,nan,False,222,964,nan,False,1497,166,nan,False,1528,901,nan,False,969,763,nan,False
