202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
986,105,nan,1,1497,188,nan,1,1185,261,nan,1,1259,117,nan,1,1113,402,nan,1,1061,368,2,1,1029,315,nan,1,1030,328,nan,1
979,119,nan,1,1462,194,9,1,1174,251,nan,1,1257,118,nan,1,1108,403,4,1,1064,360,2,1,1063,346,nan,1,1035,337,nan,1
963,147,nan,1,1433,202,1,1,1171,245,nan,1,1256,118,nan,1,1085,411,4,1,1065,365,2,1,1034,299,nan,1,1035,312,nan,1
955,161,3,1,1412,206,nan,1,1168,241,nan,1,1238,139,nan,1,1051,423,nan,1,1047,378,2,1,1041,295,nan,1,1027,327,nan,1
939,186,3,1,1394,204,nan,1,1174,231,nan,1,1230,138,nan,1,1028,424,8,1,1025,391,4,1,1028,292,1,1,1029,305,nan,1
928,219,11,1,1388,196,nan,1,1178,230,nan,1,1226,138,nan,1,1023,409,nan,1,995,397,nan,1,1040,261,1,1,1024,423,nan,1
928,241,3,1,1378,187,nan,1,1176,236,nan,1,1225,138,nan,1,1025,395,nan,1,953,399,nan,1,1045,248,1,1,1042,323,nan,1
932,269,14,1,1368,179,nan,1,1183,235,nan,1,1230,138,nan,1,1037,393,nan,1,923,413,nan,1,1052,234,nan,1,1052,334,nan,1
938,285,nan,1,1363,167,nan,1,1193,229,nan,1,1239,137,nan,1,1043,405,nan,1,920,441,nan,1,1051,228,nan,1,1047,345,nan,1
942,293,nan,1,1356,158,nan,1,1201,218,nan,1,1241,137,nan,1,1012,400,nan,1,930,450,nan,1,1050,227,nan,1,1035,354,nan,1
943,291,nan,1,1343,164,nan,1,1205,212,nan,1,1225,138,nan,1,1014,346,nan,1,nan,nan,8,1,1014,346,nan,1,1016,359,nan,1
