202312051644
baigai
x
yagura
spinner_hydrant,others,1098,16,3,4,win
maneuver_spla_collabo,others,1302,5,1,5,win
hude_pablo,others,1222,13,3,5,win
shooter_h3_d,myself,878,6,1,3,win
shelter_spy_sorella,others,1104,7,5,5,lose
maneuver_kelvin,others,850,8,11,4,lose
shooter_bottle_foil,others,1081,7,5,4,lose
shooter_52,others,987,6,9,5,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1350,278,nan,1,1663,149,11,1,807,400,nan,1,1073,258,nan,1,1054,354,nan,1,1056,367,nan,1,1058,247,nan,1,1037,373,nan,1
1311,267,nan,1,1636,153,nan,1,807,400,nan,1,1313,45,nan,1,1062,336,nan,1,1063,350,nan,1,1073,233,nan,1,1041,373,nan,1
1282,262,nan,1,1618,152,nan,1,807,400,nan,1,1313,45,nan,1,1066,300,nan,1,1067,314,nan,1,1085,218,nan,1,1044,365,nan,1
1273,254,nan,1,1575,149,3,1,807,400,nan,1,1073,258,nan,1,1063,276,nan,1,1064,290,nan,1,1112,196,nan,1,1035,345,nan,1
1275,239,nan,1,1534,144,4,1,807,400,nan,1,1313,45,nan,1,1035,312,nan,1,1065,276,nan,1,1143,201,nan,1,1037,325,nan,1
1285,258,nan,1,1495,142,5,1,807,400,nan,1,1313,45,nan,1,1086,235,nan,1,1088,249,nan,1,1156,213,nan,1,1037,324,nan,1
1317,279,nan,1,1463,141,nan,1,807,400,nan,1,1313,45,nan,1,1043,284,nan,1,nan,nan,nan,1,1139,205,nan,1,1039,322,nan,1
1352,279,nan,1,1431,139,nan,1,nan,nan,nan,1,1313,45,nan,1,1044,273,nan,1,1112,179,nan,1,1139,195,nan,1,1040,317,nan,1
1365,281,nan,1,1404,138,nan,1,nan,nan,nan,1,1313,45,nan,1,1043,263,nan,1,1121,160,nan,1,1151,207,nan,1,1040,306,nan,1
1383,306,nan,1,1380,143,9,1,nan,nan,nan,1,1313,45,nan,1,1041,253,nan,1,1129,151,nan,1,1163,213,nan,1,1043,297,nan,1
1409,334,nan,1,1367,143,nan,1,nan,nan,nan,1,1313,45,nan,1,1132,132,nan,1,1134,146,nan,1,1176,206,nan,1,1045,291,nan,1
1431,353,nan,1,1361,143,nan,1,nan,nan,nan,1,1313,45,nan,1,1035,239,nan,1,1133,145,nan,1,1192,205,nan,1,1044,287,nan,1
1441,364,nan,1,1359,146,nan,1,nan,nan,nan,1,1313,45,nan,1,1043,213,nan,1,1135,149,nan,1,1217,227,nan,1,1044,286,nan,1
